Lambda_Var,Tariff_Var,Norm_Ossa,Norm_LM
0.0223357394251538,0.00697841511000307,0.0150692408521795,0.00408620386958023
0.0282566019101505,0.00842473934602336,0.016672320392771,0.0031562694077084
0.0240964628414263,0.00730007063746634,0.0157425632430962,0.00179743245671286
0.0256842063444141,0.00565466385054907,0.0153859916674734,0.00423126004105789
0.0242197887648707,0.00475580205745278,0.0175518542023648,0.00374556572963626
0.0197651538184383,0.00609997883389129,0.0153695636427788,0.00187773421520305
0.0251240676870776,0.00651741255605621,0.0144748477348192,0.00191927728998875
0.0241124482058532,0.00620798675428811,0.0146901361363365,0.00389225262993738
0.0189043362458626,0.00368178304343141,0.0153010640198922,0.0025225150568054
0.0216373605606448,0.0037213093271479,0.015459152537096,0.00303831710641064
0.0193096722987551,0.00679806698213443,0.0146987979708661,0.000656684713895971
0.0238057079207892,0.00577869882637848,0.0148826475356061,0.00192671063017129
0.0314918684993328,0.00896950946681738,0.0149698985990609,0.00335376786143749
0.021180820667263,0.00664174853735985,0.0142237326906024,0.00548367636134891
0.0218662388166122,0.00553141183537209,0.0142079502944003,0.00218502518639383
0.0199311329388195,0.00713084622261801,0.0154182000266,0.00224433455332528
0.0232336561213896,0.00561471019633291,0.0151268461319981,0.00067157110344626
0.0216522256920625,0.00371520045933746,0.0140112281820544,0.00484255907215236
0.0236734039949372,0.00648800757494584,0.0152600797572471,0.00322370275435758
0.0205849680826576,0.00381899555417003,0.0144302262076551,0.00238852450806659
0.0221132329245773,0.00615568938261283,0.0150837623096444,0.00235441522956357
0.0262410837353096,0.00645185197807561,0.0146213375362755,0.00268385444343938
0.0246444751202463,0.00917135401953829,0.0148605502053132,0.00158153163112199
0.0219807638704953,0.00501271858030847,0.0159734508623463,0.00130024114908209
0.0267575097649247,0.00701350170471083,0.0157535491706447,0.000997662289652567
0.0212852762407284,0.00498796326137415,0.0138424750739419,0.00556133202999313
0.0279355476358407,0.0128918272580572,0.015342535253424,0.00185491790827443
0.0267282290263916,0.00517790784968626,0.013959915159858,0.00306451949631113
0.0208774837487702,0.00541258665683476,0.0145085671556351,0.00461773748352096
0.0275605349556561,0.00474037127057999,0.015439345188502,0.000877597328191054
0.0279539072785887,0.00859672934557628,0.0143415368722485,0.00183020197551638
0.0228806724386643,0.00667244827809007,0.0146555500508818,0.00173633554194811
0.0188778670115153,0.00553853057884004,0.0141206385647258,0.0022843429389814
0.0252972850372409,0.00551039454070587,0.0158208284672266,0.0026265882007468
0.0241118926779561,0.00428748145083834,0.0162747302348426,0.00043094430636589
0.0274864044696997,0.00511062299628782,0.0148803329165026,0.00401044933498513
0.0244619354253517,0.00612954469048001,0.0147653162629523,0.00297714067348265
0.0276039017939748,0.0082886675303963,0.0152170510764773,0.00219714309029223
0.0267123704625108,0.00977115814977409,0.016612031384641,0.00285820372041313
0.0243116559442897,0.00676770296527387,0.0148992615630237,0.00348269962584171
0.0251891911896751,0.00598883668535259,0.0139537768949441,0.00275427653708554
0.0215329797154744,0.0048788365378092,0.0160671078435714,0.00238984387577362
0.0211030807044295,0.00591531724279531,0.0156576096421135,0.00154724750903544
0.0273117159176805,0.00441227251654418,0.014333798846747,0.00108938632167759
0.0262299214955537,0.00817207709181921,0.0148761836896601,0.00163162220059157
0.0265485335114729,0.00656241372948006,0.0141375528764945,0.00204800101277847
0.0230052284212832,0.00655269587994525,0.0150552813565897,0.00232971715629743
0.0216097177208842,0.00371320892772332,0.0143542583994338,0.00214980983775574
0.0259852745957557,0.00778031021115738,0.0152645174663847,0.00115348919149046
0.0206123214607862,0.00772187584289068,0.0142629684197995,0.00370069354064922
